Name,Address__c,City__c,State__c,Zip__c,Price__c,Beds__c,Baths__c,Location__Longitude__s,Location__Latitude__s,Picture__c,Thumbnail__c,Tags__c,Description__c,Broker__r.Email__c
Stunning Victorian,18 Henry St,Cambridge,MA,01742,975000,4,3,-71.11095,42.35663,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house01.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house01sq.jpg,victorian,Lorem ipsum dolor sit amet,caroline@dreamhouse.demo
Ultimate Sophistication,24 Pearl St,Cambridge,MA,02420,1200000,5,4,-71.10869,42.359103,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house02.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house02sq.jpg,colonial,Lorem ipsum dolor sit amet,michael@dreamhouse.demo
Modern City Living,72 Francis st,Boston,MA,02420,825000,5,4,-71.106827,42.335435,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house03.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house03sq.jpg,contemporary,Lorem ipsum dolor sit amet,jonathan@dreamhouse.demo
Stunning Colonial,32 Prince st,Cambridge,MA,02420,930000,5,4,-71.110448,42.360642,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house04.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house04sq.jpg,colonial,Lorem ipsum dolor sit amet,jen@dreamhouse.demo
Waterfront in the City,110 Baxter Street,Boston,MA,02420,850000,3,2,-71.084454,42.368168,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house05.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house05sq.jpg,contemporary,Lorem ipsum dolor sit amet,olivia@dreamhouse.demo
Quiet Retreat,448 Hanover St,Boston,MA,02420,725000,4,2,-71.052617,42.366855,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house06.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house06sq.jpg,colonial,Lorem ipsum dolor sit amet,miriam@dreamhouse.demo
City Living,127 Endicott St,Boston,MA,02420,450000,3,1,-71.057352,42.365003,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house07.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house07sq.jpg,colonial,Lorem ipsum dolor sit amet,michelle@dreamhouse.demo
Heart of Harvard Square,48 Brattle st,Cambridge,MA,02420,450000,5,4,-71.121653,42.374117,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house10.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house10sq.jpg,victorian,Lorem ipsum dolor sit amet,victor@dreamhouse.demo
Seaport District Retreat,121 Harborwalk,Boston,MA,02420,450000,3,3,-71.049327,42.35695,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house09.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house09sq.jpg,contemporary,Lorem ipsum dolor sit amet,caroline@dreamhouse.demo
Contemporary City Living,640 Harrison Ave,Boston,MA,02420,650000,2,2,-71.068781,42.339892,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house08.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house08sq.jpg,contemporary,Lorem ipsum dolor sit amet,michael@dreamhouse.demo
Architectural Details,95 Gloucester St,Boston,MA,02420,690000,3,3,-71.084407,42.349693,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house11.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house11sq.jpg,contemporary,Lorem ipsum dolor sit amet,jonathan@dreamhouse.demo
Contemporary Luxury,145 Commonwealth Ave,Boston,MA,02420,845000,4,3,-71.075311,42.352466,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house12.jpg,https://s3-us-west-1.amazonaws.com/sfdc-demo/realty/house12sq.jpg,contemporary,Lorem ipsum dolor sit amet,jen@dreamhouse.demo
